23,1596978251-3057,https://jobee.pk/agriculture-fertilizer-pesticide-jobs,"Agriculture Land Supervisor, Nizami Brothers",https://jobee.pk/jobdetail/agriculture-land-supervisor-d7908b4f2148552e,Agriculture/Fertilizer/Pesticide Jobs,Field Operations Jobs,1,"Sheikhupura, Pakistan",Full Time Jobs,Male,29,40,Bachelors,BSC / BS / Equivalent,Experienced Professional,20000,25000,Monthly,5 Years,"Jul 25, 2020","Aug 10, 2020",All Shift,"[{'Skills':'Risk Management'},{'Skills':'Task Management'},{'Skills':'Agriculture'},{'Skills':'Land Supervision'}]",Nizami Brothers,Lahore,Mid-Level
24,1596978453-3080,https://jobee.pk/banking-financial-services-jobs,"Sales Executive / Sales Officer, Adamjee Life Assurance Co. Ltd",https://jobee.pk/jobdetail/sales-executive-sales-officer-b9dbd2bf05670fe4,Banking/Financial Services Jobs,Sales & Business Development Jobs,1,"Lahore, Pakistan",Full Time Jobs,Female,18,40,Bachelors,BA / B.Com / Equivalent,Intermediate,20000,25000,Monthly,1 Year,"Jun 11, 2020","Sep 08, 2020",Morning Shift,"[{'Skills':'Market Trading'},{'Skills':'Business Development'},{'Skills':'Sales'}]",Adamjee Life Assurance Co. Ltd,Lahore,Intermediate
25,1596978540-3097,https://jobee.pk/importers-distributors-exporters-jobs,"Sales Executive / Sales Officer, Aausis Global Commodities",https://jobee.pk/jobdetail/sales-executive-sales-officer-f2a5e4fdab1d732f,Importers/ Distributors/Exporters Jobs,Sales & Business Development Jobs,1,"Karachi, Pakistan",Full Time Jobs,No Preference,18,40,Intermediate/A-Level,FA / FSC / I.Com / Equivalent,Entry Level,15000,25000,Monthly,Fresh,"Jul 15, 2020","Oct 12, 2020",Morning Shift,"[{'Skills':'Sales'}]",Aausis Global Commodities,Karachi,Entry-Level
26,1596978364-3069,https://jobee.pk/banking-financial-services-jobs,"Sales Executive / Business Development Executive, EFU Life Assurance",https://jobee.pk/jobdetail/sales-executive-business-development-executive-2bcf728d24a37f42,Banking/Financial Services Jobs,Sales & Business Development Jobs,10,"Bhalwal, Pakistan",Full Time Jobs,No Preference,22,40,Bachelors,BA / B.Com / Equivalent,Entry Level,20000,25000,Monthly,Fresh,"Jul 25, 2020","Aug 31, 2020",Morning Shift,"[{'Skills':'Task Management'},{'Skills':'Business Manager'},{'Skills':'Marketing'},{'Skills':'Sales'}]",EFU Life Assurance,Bhalwal,Entry-Level
27,1596978476-3085,https://jobee.pk/banking-financial-services-jobs,"Assistant Branch Manager, IGI Life Insurance",https://jobee.pk/jobdetail/assistant-branch-manager-47f4080281c0c5c3,Banking/Financial Services Jobs,Sales & Business Development Jobs,10,"Karachi, Pakistan",Full Time Jobs,No Preference,18,59,Intermediate/A-Level,FSC / ICS / I.Com / Equivalent,Entry Level,10000,35000,Monthly,Fresh,"May 20, 2020","Aug 17, 2020",Morning Shift,"[{'Skills':'Business Development'},{'Skills':'Sales'}]",IGI Life Insurance,Karachi,Entry-Level
28,1596978754-3125,https://jobee.pk/accounting-taxation-jobs,"Taxation Officer / Accounts Executive, E-Tax America",https://jobee.pk/jobdetail/taxation-officer-accounts-executive-53c3f29be9ea52c4,Accounting/Taxation Jobs,"Accounts, Finance &  Financial Services Jobs",1,"Lahore, Pakistan",Full Time Jobs,No Preference,25,50,Certification,CPA,Intermediate,60000,100000,Weekly,1 Year,"Jun 08, 2020","Sep 06, 2020",All Shift,"[{'Skills':'MS Excel'},{'Skills':'Financial Services'},{'Skills':'Accounting'},{'Skills':'QuickBooks'},{'Skills':'Taxation'}]",E-Tax America,New jersy,Intermediate
29,1596978314-3066,https://jobee.pk/agriculture-fertilizer-pesticide-jobs,"Office Assistant, HajiSons",https://jobee.pk/jobdetail/office-assistant-b1a60ba8cc4bb1b7,Agriculture/Fertilizer/Pesticide Jobs,Administration Jobs,1,"Sheikhupura, Pakistan",Full Time Jobs,Male,18,40,Bachelors,BBA / B.Com / Equivalent,Intermediate,15000,20000,Monthly,1 Year,"May 13, 2020","Aug 11, 2020",Morning Shift,"[{'Skills':'MS Office'},{'Skills':'MS Excel'},{'Skills':'Administrative Skills'},{'Skills':'Record Keeping'}]",HajiSons,Lahore,Intermediate
30,1596978503-3089,https://jobee.pk/importers-distributors-exporters-jobs,"Finance Officer - Intern, Noor International",https://jobee.pk/jobdetail/finance-officer-intern-3c298e81db178d3e,Importers/ Distributors/Exporters Jobs,"Accounts, Finance &  Financial Services Jobs",2,"Karachi, Pakistan",Internship Jobs,No Preference,18,40,Bachelors,BBA / B.Com / Equivalent,Entry Level,10000,10000,Monthly,Fresh,"May 18, 2020","Jun 15, 2020",Morning Shift,"[{'Skills':'Accounts Services'},{'Skills':'Financial Instruments'},{'Skills':'Accounting'}]",Noor International,Karachi,Entry-Level
31,1596978838-3135,https://jobee.pk/food-beverages-jobs,"Sales Representative / Sales Executive, HOEST",https://jobee.pk/jobdetail/sales-representative-sales-executive-0969a7b1e3b531a9,Food & Beverages Jobs,Sales & Business Development Jobs,4,"Karachi, Pakistan",Full Time Jobs,Male,25,40,Bachelors,BBA / BS / B.Com / Equivalent,Experienced Professional,25000,40000,Monthly,4 Years,"Jul 25, 2020","Aug 31, 2020",Morning Shift,"[{'Skills':'Team player'},{'Skills':'Marketing'},{'Skills':'Sales'}]",HOEST,Lahore,Mid-Level
32,1596978523-3093,https://jobee.pk/importers-distributors-exporters-jobs,"Web Developer / PHP Web Developer, The Beauty Curators",https://jobee.pk/jobdetail/web-developer-php-web-developer-011b714e7c6b1f49,Importers/ Distributors/Exporters Jobs,Software & Web Development Jobs,1,"Rawalpindi, Pakistan",Full Time Jobs,No Preference,18,40,Bachelors,BSCS / BSIT / BSSE,Intermediate,30000,40000,Monthly,2 Years,"Jul 25, 2020","Aug 15, 2020",Morning Shift,"[{'Skills':'PHP'},{'Skills':'Java'},{'Skills':'Jquery'},{'Skills':'Bootstrap'},{'Skills':'WebAPI'}]",The Beauty Curators,Rawalpindi,Intermediate
